,theme,start_time,end_time,affected_sectors,severity_ratio,answer_ratio,sources,location,df_index
32,Desbordamientos,2023-10-24,2023-10-31,"['Transporte', 'Sanidad']","{'Transporte': 0.53125, 'Sanidad': 0.8333333333333334}","{6: 0.75, 7: 0.5, 8: 0.875, 10: 0.75, 11: 1.0, 12: 0.75, 13: 0.75}","['https://www.huelvainformacion.es/provincia/Aumenta-Rio-Tinto-precipitaciones-Huelva-video_0_1888911611.html', 'https://www.elmundo.es/andalucia/2023/10/30/653ffa4dfdddffdd5f8b45c1.html']",Huelva,89
33,Crecida,2023-10-24,2023-10-31,"['Transporte', 'Sanidad', 'Agua y Alimentos']","{'Transporte': 0.4791666666666667, 'Sanidad': 0.7916666666666667, 'Agua y Alimentos': 0.75}","{6: 0.5833333333333334, 7: 0.5833333333333334, 8: 0.75, 10: 0.75, 11: 0.875, 12: 0.875, 13: 0.625, 14: 0.75, 15: 1.0, 16: 0.5}","['https://www.huelvainformacion.es/provincia/Aumenta-Rio-Tinto-precipitaciones-Huelva-video_0_1888911611.html', 'https://www.elmundo.es/andalucia/2023/10/30/653ffa4dfdddffdd5f8b45c1.html', 'https://www.huelvainformacion.es/provincia/Evacuados-inundacion-Palmares-San-Juan_0_1843615838.html']",Huelva,89
34,Dana,2023-10-24,2023-10-31,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.78125, 'Agua y Alimentos': 0.8333333333333334}","{5: 0.875, 6: 0.75, 7: 0.75, 8: 0.75, 14: 1.0, 15: 0.75, 16: 0.75}","['https://www.diariodehuelva.es/articulo/area-metropolitana/aemet-concluye-que/20231106203004310647.html', 'https://aemetblog.es/2023/10/30/informe-operativo-semanal-del-16-al-22-de-octubre-de-2023/']",Huelva,89
35,Inundacion,2023-10-30,2023-11-01,"['Transporte', 'Sanidad', 'Agua y Alimentos']","{'Transporte': 0.5625, 'Agua y Alimentos': 0.625, 'Sanidad': 0.75}","{5: 0.5, 6: 0.625, 7: 0.75, 8: 0.625, 14: 0.625, 15: 0.75, 16: 0.5, 10: 0.75, 11: 0.75, 12: 1.0, 13: 0.5}","['https://www.elmundo.es/espana/2023/10/30/653f4cabe4d4d8a9328b4593.html', 'https://www.huelvainformacion.es/huelva/tiempo-Huelva-Tregua-lluvias-intensas_0_1843616656.html', 'https://www.huelvainformacion.es/provincia/Evacuados-inundacion-Palmares-San-Juan_0_1843615838.html', 'https://www.huelvainformacion.es/galerias_graficas/Imagenes-Juan-Puerto-Trigueros-Niebla_3_1843645629.html']",Huelva,90
36,Luvias Intensas,2023-10-30,2023-11-01,"['Transporte', 'Agua y Alimentos']","{'Agua y Alimentos': 0.5, 'Transporte': 0.5}","{14: 0.5, 15: 0.5, 16: 0.5, 5: 0.5, 6: 0.75, 7: 0.25, 8: 0.5}","['https://www.huelvainformacion.es/huelva/tiempo-Huelva-Tregua-lluvias-intensas_0_1843616656.html', 'https://www.elconfidencial.com/espana/2023-10-31/aemet-alerta-nueva-borrasca-ciaran-vientos-lluvias_3764475/']",Huelva,90
37,Desbordamientos,2023-10-30,2023-11-01,"['Transporte', 'Sanidad']","{'Transporte': 0.53125, 'Sanidad': 0.8333333333333334}","{6: 0.75, 7: 0.5, 8: 0.875, 10: 0.75, 11: 1.0, 12: 0.75, 13: 0.75}","['https://www.huelvainformacion.es/provincia/Aumenta-Rio-Tinto-precipitaciones-Huelva-video_0_1888911611.html', 'https://www.elmundo.es/andalucia/2023/10/30/653ffa4dfdddffdd5f8b45c1.html']",Huelva,90
38,Crecida,2023-10-30,2023-11-01,"['Transporte', 'Sanidad', 'Agua y Alimentos']","{'Transporte': 0.4791666666666667, 'Sanidad': 0.7916666666666667, 'Agua y Alimentos': 0.75}","{6: 0.5833333333333334, 7: 0.5833333333333334, 8: 0.75, 10: 0.75, 11: 0.875, 12: 0.875, 13: 0.625, 14: 0.75, 15: 1.0, 16: 0.5}","['https://www.huelvainformacion.es/provincia/Aumenta-Rio-Tinto-precipitaciones-Huelva-video_0_1888911611.html', 'https://www.elmundo.es/andalucia/2023/10/30/653ffa4dfdddffdd5f8b45c1.html', 'https://www.huelvainformacion.es/provincia/Evacuados-inundacion-Palmares-San-Juan_0_1843615838.html']",Huelva,90
39,Dana,2023-10-30,2023-11-01,['Transporte'],{'Transporte': 0.75},"{5: 1.0, 6: 0.75, 7: 0.75, 8: 0.5}",['https://www.diariodehuelva.es/articulo/area-metropolitana/aemet-concluye-que/20231106203004310647.html'],Huelva,90
40,Tempestad,2023-10-24,2023-11-01,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.75, 'Agua y Alimentos': 0.5833333333333334}","{5: 1.0, 6: 0.75, 7: 0.75, 8: 0.5, 14: 0.75, 15: 0.5, 16: 0.5}","['https://www.diariodehuelva.es/articulo/area-metropolitana/aemet-concluye-que/20231106203004310647.html', 'https://elpais.com/espana/2023-10-25/las-borrascas-aline-y-bernard-dejan-casi-cuatro-veces-mas-agua-de-la-que-suele-caer-estos-dias-de-octubre.html']",Huelva,91
41,Borrasca,2023-10-24,2023-11-01,"['Transporte', 'Sanidad']","{'Transporte': 0.75, 'Sanidad': 0.08333333333333333}","{5: 1.0, 6: 0.75, 7: 0.75, 8: 0.5, 10: 0.0, 11: 0.25}","['https://www.diariodehuelva.es/articulo/area-metropolitana/aemet-concluye-que/20231106203004310647.html', 'https://www.huelvainformacion.es/huelva/noticias-destacadas-sabado-octubre-Huelva_0_1843016658.html', 'https://www.huelvainformacion.es/huelva/Octubre-Recuerdas-fuerte-temporal-viento_0_1842717419.html']",Huelva,91
42,Temporal,2023-10-24,2023-11-01,"['Transporte', 'Sanidad']","{'Transporte': 0.75, 'Sanidad': 0.08333333333333333}","{5: 1.0, 6: 0.75, 7: 0.75, 8: 0.5, 10: 0.0, 11: 0.25}","['https://www.huelvainformacion.es/huelva/Octubre-Recuerdas-fuerte-temporal-viento_0_1842717419.html', 'https://www.diariodehuelva.es/articulo/area-metropolitana/aemet-concluye-que/20231106203004310647.html', 'https://www.huelvainformacion.es/huelva/noticias-destacadas-sabado-octubre-Huelva_0_1843016658.html']",Huelva,91
43,Vientos fuertes,2023-10-24,2023-11-01,['Transporte'],{'Transporte': 0.75},"{5: 1.0, 6: 0.75, 7: 0.75, 8: 0.5}","['https://www.huelvainformacion.es/huelva/Octubre-Recuerdas-fuerte-temporal-viento_0_1842717419.html', 'https://www.diariodehuelva.es/articulo/area-metropolitana/aemet-concluye-que/20231106203004310647.html']",Huelva,91
44,Inundacion,2023-05-26,2023-05-28,['Transporte'],{'Transporte': 0.25},"{7: 0.75, 8: 0.25}",['https://www.heraldo.es/noticias/nacional/2023/05/27/pronostico-meteorologico-jornada-electoral-28-m-lluvias-1654559.html'],Huesca,92
45,Luvias Intensas,2023-05-26,2023-05-28,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.375, 'Agua y Alimentos': 0.5833333333333334}","{5: 0.25, 6: 0.5, 7: 0.75, 8: 0.375, 14: 0.5, 15: 0.75, 16: 0.5}","['https://www.antena3.com/noticias/el-tiempo/actualidad/ultima-hora-dana-directo-varias-comunidades-alerta-fuertes-lluvias_20230526647050b2910a1b0001dfd51a.html', 'https://www.heraldo.es/noticias/nacional/2023/05/27/pronostico-meteorologico-jornada-electoral-28-m-lluvias-1654559.html']",Huesca,92
46,Crecida,2023-11-03,2023-11-05,['Transporte'],{'Transporte': 0.5625},"{5: 0.25, 6: 0.5, 7: 0.75, 8: 0.75}","['https://blogs.diariosur.es/tormentas-y-rayos/2023/11/05/efemerides-de-noviembre-y-valores-extremos-en-malaga-aeropuerto/', 'https://www.abc.es/sociedad/directo-ultima-hora-invidencias-avisos-aemet-paso-20231102080248-di.html']",Huesca,93
47,Fuerte Oleaje,2023-10-20,2023-10-22,['Transporte'],{'Transporte': 0.875},"{5: 0.5, 6: 1.0, 7: 1.0, 8: 1.0}",['https://www.20minutos.es/minuteca/inundaciones/5/'],Illes Balears,95
48,Inundacion,2023-09-21,2023-09-24,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.65625, 'Agua y Alimentos': 0.9166666666666666}","{5: 0.5, 6: 0.75, 7: 0.75, 8: 0.625, 14: 1.0, 15: 1.0, 16: 0.75}","['https://www.laopiniondemurcia.es/comunidad/2023/09/25/gobierno-declara-region-murcia-zona-92532090.html', 'https://cadenaser.com/castillalamancha/2023/09/25/declarada-la-zona-catastrofica-para-diversos-municipios-de-castilla-la-mancha-la-mayoria-en-la-provincia-de-toledo-ser-toledo/']",Illes Balears,99
49,Dana,2023-09-21,2023-09-24,"['Transporte', 'Aguas Residuales', 'Agua y Alimentos']","{'Transporte': 0.78125, 'Agua y Alimentos': 0.9166666666666666, 'Aguas Residuales': 0.7205882352941176}","{5: 0.75, 6: 0.75, 7: 0.75, 8: 0.875, 14: 1.0, 15: 1.0, 16: 0.75, 17: 0.75, 18: 0.5, 19: 0.75}","['https://www.interior.gob.es/opencms/es/detalle/articulo/El-Gobierno-declara-zona-catastrofica-y-aprueba-ayudas-para-los-afectados-por-las-DANA-de-septiembre/', 'https://www.laopiniondemurcia.es/comunidad/2023/09/25/gobierno-declara-region-murcia-zona-92532090.html']",Illes Balears,99
50,Inundacion,2023-10-16,2023-10-19,['Transporte'],{'Transporte': 0.875},"{5: 0.5, 6: 1.0, 7: 1.0, 8: 1.0}",['https://www.20minutos.es/minuteca/inundaciones/5/'],Illes Balears,100
51,Vientos fuertes,2023-01-23,2023-02-02,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.6875, 'Agua y Alimentos': 0.75}","{5: 0.75, 6: 0.75, 7: 0.5, 8: 0.75, 14: 0.75, 15: 0.5, 16: 1.0}","['https://aemetblog.es/2023/02/01/informe-operativo-semanal-semana-del-16-al-22-de-enero-de-2023/', 'https://www.europapress.es/illes-balears/noticia-enero-fue-mes-normal-baleares-partes-diferenciadas-temperaturas-encima-debajo-media-20230203143419.html']",Illes Balears,101
52,Borrasca,2023-02-28,2023-03-03,"['Transporte', 'Energia', 'Aguas Residuales', 'Agua y Alimentos']","{'Transporte': 0.5625, 'Agua y Alimentos': 0.7777777777777777, 'Aguas Residuales': 0.35294117647058826, 'Energia': 0.625}","{5: 0.75, 6: 0.4166666666666667, 7: 0.5, 8: 0.75, 14: 0.8333333333333334, 15: 0.75, 16: 0.75, 17: 1.0, 18: 0.5, 0: 0.75, 1: 0.75, 2: 0.5, 3: 0.5}","['https://www.antena3.com/noticias/el-tiempo/actualidad/paso-borrasca-juliette-directo-frio-artico-nieve-varias-comunidades-riesgo_2023022863fdb09faf4bff00016eb340.html', 'https://www.elnacional.cat/es/sociedad/borrasca-juliette-provoca-caos-mallorca-nieve-inundaciones-cortes-luz_979098_102.html', 'https://www.menorca.info/menorca/local/2023/03/06/1894273/febrero-menorca-mas-frio-mas-lluvioso-normal.html', 'https://www.europapress.es/illes-balears/noticia-febrero-fue-mes-frio-baleares-temperatura-media-98c-226-mas-lluvia-juliette-20230306171903.html', 'https://www.cronicabalear.es/2023/se-derrumba-el-techo-de-un-edificio-de-la-uib-por-el-fuerte-temporal/', 'https://www.ultimahora.es/noticias/local/2023/02/28/1890767/tiempo-mallorca-diecinueve-records-lluvia-solo-dia.html']",Illes Balears,102
53,Temporal,2023-02-28,2023-03-03,"['Transporte', 'Aguas Residuales', 'Agua y Alimentos']","{'Transporte': 0.4375, 'Agua y Alimentos': 0.9166666666666666, 'Aguas Residuales': 0.35294117647058826}","{5: 0.75, 6: 0.0, 7: 0.25, 8: 0.75, 14: 1.0, 15: 1.0, 16: 0.75, 17: 1.0, 18: 0.5}","['https://tirant.com/actualidad-juridica/noticia-despido-nulo-por-incapacidad-temporal-en-periodo-de-prueba/', 'https://www.antena3.com/noticias/el-tiempo/actualidad/paso-borrasca-juliette-directo-frio-artico-nieve-varias-comunidades-riesgo_2023022863fdb09faf4bff00016eb340.html']",Illes Balears,102
54,Vientos fuertes,2023-02-28,2023-03-03,"['Transporte', 'Energia', 'Aguas Residuales', 'Agua y Alimentos']","{'Transporte': 0.5625, 'Agua y Alimentos': 0.7777777777777777, 'Aguas Residuales': 0.35294117647058826, 'Energia': 0.625}","{5: 0.75, 6: 0.4166666666666667, 7: 0.5, 8: 0.75, 14: 0.8333333333333334, 15: 0.75, 16: 0.75, 17: 1.0, 18: 0.5, 0: 0.75, 1: 0.75, 2: 0.5, 3: 0.5}","['https://www.antena3.com/noticias/el-tiempo/actualidad/paso-borrasca-juliette-directo-frio-artico-nieve-varias-comunidades-riesgo_2023022863fdb09faf4bff00016eb340.html', 'https://www.elnacional.cat/es/sociedad/borrasca-juliette-provoca-caos-mallorca-nieve-inundaciones-cortes-luz_979098_102.html', 'https://www.europapress.es/illes-balears/noticia-febrero-fue-mes-frio-baleares-temperatura-media-98c-226-mas-lluvia-juliette-20230306171903.html']",Illes Balears,102
55,Tempestad,2023-08-27,2023-08-28,"['Transporte', 'Energia']","{'Transporte': 0.71875, 'Energia': 0.78125}","{5: 0.875, 6: 0.75, 7: 0.5, 8: 0.75, 0: 0.75, 1: 1.0, 2: 0.5, 3: 1.0, 4: 0.0}","['https://www.ultimahora.es/noticias/local/2023/08/27/2001873/tiempo-mallorca-temporal-sacude-isla.html', 'https://www.ultimahora.es/noticias/local/2023/08/27/2001925/caos-aeropuestos-decenas-vuelos-anulados-retrasados.html']",Illes Balears,103
56,Borrasca,2023-08-27,2023-08-28,"['Transporte', 'Energia', 'Aguas Residuales']","{'Transporte': 0.6041666666666666, 'Energia': 0.625, 'Aguas Residuales': 0.75}","{5: 0.5416666666666666, 6: 0.75, 7: 0.625, 8: 0.7083333333333334, 0: 0.75, 1: 0.75, 2: 0.5, 3: 0.5, 17: 0.75, 18: 0.75, 19: 0.75}","['https://www.ultimahora.es/noticias/local/2023/08/27/2001873/tiempo-mallorca-temporal-sacude-isla.html', 'https://www.elnacional.cat/es/sociedad/temporal-causa-estragos-mallorca-videos_1083465_102.html', 'https://www.periodicodeibiza.es/pitiusas/ibiza/2023/08/27/2001613/tiempo-ibiza-formentera-borrasca-betty.html', 'https://www.publico.es/sociedad/buque-750-pasajeros-salio-valencia-colisiona-muelle-ibiza-causa-borrasca-betty.html', 'https://www.ultimahora.es/sucesos/ultimas/2023/08/28/2002135/tiempo-mallorca-borrasca-betty-provoca-429-incidencias.html', 'https://www.menorca.info/menorca/local/2023/08/29/2002775/tiempo-menorca-dana-afectara-isla.html', 'https://www.ultimahora.es/noticias/local/2023/08/29/2002715/tiempo-mallorca-dana-afectara-isla.html', 'https://www.ultimahora.es/noticias/local/2023/08/27/2001615/tiempo-mallorca-impresionante-tormenta-fuertes-rachas-viento-sur.html']",Illes Balears,103
57,Vientos fuertes,2023-08-27,2023-08-28,"['Transporte', 'Energia']","{'Transporte': 0.6875, 'Energia': 0.625}","{5: 0.5, 6: 0.75, 7: 0.75, 8: 0.75, 0: 0.75, 1: 0.75, 2: 0.5, 3: 0.5}","['https://www.elmundo.es/baleares/2023/08/28/64ec35ad21efa0d1338b4576.html', 'https://www.elnacional.cat/es/sociedad/temporal-causa-estragos-mallorca-videos_1083465_102.html']",Illes Balears,103
58,Inundacion,2023-09-15,2023-09-17,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.28125, 'Agua y Alimentos': 0.75}","{8: 0.75, 14: 0.75, 15: 0.75, 16: 0.75, 7: 0.75}","['https://www.lavanguardia.com/local/sevilla/20230915/9230239/inundaciones-rios-desbordados-carreteras-cortadas-andalucia-central-tormentas.html', 'https://www.canalsur.es/noticias/andalucia/rios-de-agua-por-las-calles-de-sierra-de-yeguas-alcala-la-real-o-constantina/1964172.html']",Jaen,104
59,Luvias Intensas,2023-09-15,2023-09-17,['Transporte'],{'Transporte': 0.1875},{8: 0.75},['https://lacontradejaen.eldiario.es/otra-semana-con-avisos-por-lluvias-jaen/'],Jaen,104
60,Desbordamientos,2023-09-15,2023-09-17,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.25, 'Agua y Alimentos': 0.75}","{8: 0.75, 14: 0.75, 15: 0.75, 16: 0.75, 7: 0.75}","['https://www.canalsur.es/noticias/andalucia/tormentas-y-desbordamientos-de-rios-en-jaen-donde-alcala-la-real-es-la-poblacion-mas-afectada/1963993.html', 'https://www.lavanguardia.com/local/sevilla/20230915/9230239/inundaciones-rios-desbordados-carreteras-cortadas-andalucia-central-tormentas.html', 'https://www.diariodesevilla.es/provincia/Constantina-inunda-espectacular-tormenta-media-hora-video_0_1830117183.html', 'https://www.canalsur.es/noticias/andalucia/rios-de-agua-por-las-calles-de-sierra-de-yeguas-alcala-la-real-o-constantina/1964172.html']",Jaen,104
61,Dana,2023-09-15,2023-09-17,['Transporte'],{'Transporte': 0.375},"{5: 0.5, 6: 0.5, 7: 0.5, 8: 0.75}","['https://www.larazon.es/el-tiempo/aemet-emite-comunicado-urgente-dana-chubascos-tormentas-muy-fuertes-granizo-amplias-zonas-espana_2024082766cdcb17ddf3680001af86f4.html', 'https://www.ideal.es/jaen/jaen/danos-olivar-sierra-sur-jaen-fuerte-temporal-20230915183111-nt.html', 'https://www.canalsur.es/noticias/andalucia/jaen/el-granizo-causa-danos-en-los-olivares-de-la-sierra-sur-jiennense/1964267.html', 'https://www.diariodesevilla.es/andalucia/Balance-efectos-tormentas-septiembre-Andalucia_0_1830117363.html', 'https://extrajaen.com/actualidad/el-granizo-causa-estragos-en-pozo-alcon', 'https://lacontradejaen.eldiario.es/otra-semana-con-avisos-por-lluvias-jaen/', 'https://www.canalsur.es/noticias/andalucia/jaen/quince-minutos-de-caos-por-una-fuerte-granizada-en-pozo-alcon/1965560.html']",Jaen,104
62,Crecida,2023-07-09,2023-07-13,['Sanidad'],{'Sanidad': 0.25},"{10: 0.25, 11: 0.5}","['https://www.ideal.es/culturas/jaen/premio-pintura-rafael-zabaleta-quesada-marcha-rioja-20230716130246-nt.html', 'https://www.ellitoral.com/nacionales/operativo-rescate-joven-perdido-parque-nacional-rioja-gendarmeria_0_EPpuTWwjzH.html']",La Rioja,106
63,Inundacion,2023-09-15,2023-09-22,['Agua y Alimentos'],{'Agua y Alimentos': 0.75},"{14: 0.75, 15: 0.75, 16: 0.75}",['https://www.eltiempo.es/noticias/la-vendimia-de-la-sequia-y-las-inundaciones-como-sera-la-temporada'],La Rioja,107
64,Luvias Intensas,2023-09-15,2023-09-22,['Agua y Alimentos'],{'Agua y Alimentos': 0.6666666666666666},"{14: 0.75, 15: 0.75, 16: 0.5}",['https://aemetblog.es/2023/09/24/informe-sobre-el-episodio-meteorologico-de-precipitaciones-intensas-ocasionado-por-una-dana-durante-los-dias-2-3-y-4-de-septiembre-de-2023/'],La Rioja,107
65,Dana,2023-09-15,2023-09-22,['Agua y Alimentos'],{'Agua y Alimentos': 0.6666666666666666},"{14: 0.75, 15: 0.75, 16: 0.5}",['https://aemetblog.es/2023/09/24/informe-sobre-el-episodio-meteorologico-de-precipitaciones-intensas-ocasionado-por-una-dana-durante-los-dias-2-3-y-4-de-septiembre-de-2023/'],La Rioja,107
66,Tempestad,2023-11-05,2023-11-10,['Transporte'],{'Transporte': 0.125},{8: 0.5},['https://mendozatoday.com.ar/2023/11/10/bajo-el-zonda-al-llano-y-hay-alerta-amarilla/'],La Rioja,108
67,Borrasca,2023-11-05,2023-11-10,['Transporte'],{'Transporte': 0.625},"{5: 0.4166666666666667, 6: 0.8333333333333334, 7: 0.5833333333333334, 8: 0.6666666666666666}","['https://www.aemet.es/en/conocermas/borrascas/2023-2024/estudios_e_impactos/domingos', 'https://www.rtve.es/noticias/20231105/borrasca-domingos-5-noviembre-2023-riesgo-peninsula/2460055.shtml', 'https://www.larioja.com/la-rioja/borrasca-despide-incidencias-logrono-villamediana-najera-20231106214200-nt.html', 'https://www.epe.es/es/espana/20231105/borrasca-domingos-espana-peninsula-alerta-vientos-lluvias-directo-94109465']",La Rioja,108
68,Inundacion,2023-12-03,2023-12-07,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.5, 'Agua y Alimentos': 0.0}","{5: 0.0, 6: 0.75, 7: 0.5, 8: 0.75}","['https://www.canarias7.es/canarias/balsa-agua-obliga-cerrar-acceso-subterraneo-perez-20231212205426-nt.html', 'https://www.canarias7.es/canarias/fuerteventura/fotografia-gavia-fuerteventura-ganadora-concurso-onu-20231207085651-nt.html']",Las Palmas,109
69,Desbordamientos,2023-12-03,2023-12-07,"['Transporte', 'Energia', 'Agua y Alimentos']","{'Energia': 0.52734375, 'Transporte': 0.78125, 'Agua y Alimentos': 0.875}","{0: 0.75, 1: 0.75, 3: 0.25, 5: 0.75, 6: 0.625, 7: 0.875, 8: 0.875, 14: 0.875, 15: 0.875, 16: 0.875, 2: 0.5}","['https://www.eluniverso.com/noticias/ecuador/unas-60-comunidades-rurales-y-12-barrios-de-muisne-en-emergencia-por-desbordamientos-de-rios-nota/', 'https://esmeraldasnews.com/muisne/decenas-de-familias-afectadas-por-desbordamiento-de-rios-en-muisne/']",Las Palmas,109
70,Temporal,2023-11-05,2023-11-11,['Transporte'],{'Transporte': 0.75},"{5: 0.75, 6: 0.75, 7: 0.75, 8: 0.75}","['https://leon24horas.net/actualidad/el-fuerte-temporal-de-viento-y-lluvia-provoca-varios-incidentes-en-leon/', 'https://www.rtve.es/noticias/20231105/borrasca-domingos-5-noviembre-2023-riesgo-peninsula/2460055.shtml']",Leon,111
71,Vientos fuertes,2023-11-05,2023-11-11,['Agua y Alimentos'],{'Agua y Alimentos': 0.6666666666666666},"{14: 0.5, 15: 0.75, 16: 0.75}","['https://lasillarota.com/guanajuato/vida/2023/11/11/frente-frio-provoca-este-11-de-noviembre-mas-lluvias-fuertes-para-guanajuato-456308.html', 'https://www.nmas.com.mx/nacional/clima/pronostico-del-clima-en-mexico-hoy-12-de-noviembre-de-2023-lluvias-fuertes/', 'https://www.elfinanciero.com.mx/nacional/2023/11/09/granizadas-heladas-y-tornados-a-29-estados-les-llovera-este-jueves-9-de-noviembre/', 'https://www.radioformula.com.mx/nacional/2023/11/5/frente-frio-se-acerca-que-estados-afectara-con-lluvias-vientos-esta-semana-788616.html', 'https://www.burgosconecta.es/provincia/burgos-registra-327-llamadas-emergencias-causa-fuertes-20231105201503-nt.html', 'https://www.telediario.mx/nacional/frente-frio-noviembre-2023-cuando-entra-el-proximo-mexico']",Leon,111
72,Inundacion,2023-06-30,2023-07-03,['Transporte'],{'Transporte': 0.625},"{5: 0.75, 6: 0.25, 7: 0.75, 8: 0.75}",['https://www.infobae.com/espana/2023/06/30/inundaciones-arboles-caidos-y-coches-arrastrados-por-la-corriente-en-cataluna/'],Lleida,112
73,Crecida,2023-06-30,2023-07-03,"['Transporte', 'Agua y Alimentos']","{'Agua y Alimentos': 0.6666666666666666, 'Transporte': 0.3125}","{14: 0.75, 15: 0.5, 16: 0.75, 6: 0.0, 7: 0.5, 8: 0.75}","['https://elpais.com/espana/catalunya/2023-07-01/cataluna-empieza-a-ver-el-final-del-tunel-de-la-gran-sequia-tras-las-lluvias-de-junio.html', 'https://www.elnacional.cat/es/sociedad/tormenta-electrica-espectacular-catalunya-video_1053531_102.html']",Lleida,112
